ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-112e-1	1			pig	5001	Farm animals	
Carling-2017-112e-2	2			chicken / fowl	5002	Farm animals	
Carling-2017-112e-3	3			dog	5003	Farm animals	
Carling-2017-112e-4	4			cat	5004	Farm animals	
Carling-2017-112e-5	5			goat	5006	Farm animals	
Carling-2017-112e-6	6			buffalo	5005	Wild animals	
Carling-2017-112e-7	7			bee	5007	Wild animals	
Carling-2017-112e-8	8			bear	5008	Wild animals	
Carling-2017-112e-9	9			tiger	5009	Wild animals	
Carling-2017-112e-10	10			pig (wild)	5010	Wild animals	
Carling-2017-112e-11	11			flying squirrel	5011	Wild animals	
Carling-2017-112e-12	12			bat / fruit bat	5012	Wild animals	
Carling-2017-112e-13	13			bird	5013	Wild animals	
Carling-2017-112e-14	14			snake (e.g. cobra)	5014	Wild animals	
Carling-2017-112e-15	15			fish	5015	Wild animals	
Carling-2017-112e-16	16			rat	5016	Wild animals	
Carling-2017-112e-17	17			crab	5017	Wild animals	
Carling-2017-112e-18	18			(freshwater) eel	5018	Wild animals	
Carling-2017-112e-19	19			monkey	5019	Wild animals	
Carling-2017-112e-20	20			honey	5020	Products	
Carling-2017-112e-21	21			wine (rice)	5021	Products	
Carling-2017-112e-22	22			salt	5022	Products	
Carling-2017-112e-23	23			sugar	5023	Products	
Carling-2017-112e-24	24			pork	5024	Products	
Carling-2017-112e-25	25			meat (food)	5025	Products	
Carling-2017-112e-26	26			oil / grease	5026	Products	
Carling-2017-112e-27	27			to weave	5027	Activities	
Carling-2017-112e-28	28			to sew	5028	Activities	
Carling-2017-112e-29	29			to sow	5029	Activities	
Carling-2017-112e-30	30			to cook	5030	Activities	
Carling-2017-112e-31	31			to sing	5031	Activities	
Carling-2017-112e-32	32			to dance	5032	Activities	
Carling-2017-112e-33	33			to hunt	5033	Activities	
Carling-2017-112e-34	34			to pound (rice)	5034	Activities	
Carling-2017-112e-35	35			rice (crop)	5035	Crops & fruit	
Carling-2017-112e-36	36			rice (grain)	5036	Crops & fruit	
Carling-2017-112e-37	37			rice (cooked)	5037	Crops & fruit	
Carling-2017-112e-38	38			millet	5038	Crops & fruit	
Carling-2017-112e-39	39			maize	5039	Crops & fruit	
Carling-2017-112e-40	40			sugar-cane	5040	Crops & fruit	
Carling-2017-112e-41	41			betel nut	5041	Crops & fruit	
Carling-2017-112e-42	42			sweet potato	5042	Crops & fruit	
Carling-2017-112e-43	43			taro	5043	Crops & fruit	
Carling-2017-112e-44	44			banana	5044	Crops & fruit	
Carling-2017-112e-45	45			coconut	5045	Crops & fruit	
Carling-2017-112e-46	46			fruit	5046	Crops & fruit	
Carling-2017-112e-47	47			banyan	5047	Crops & fruit	
Carling-2017-112e-48	48			yam (Dioscorea)	5048	Crops & fruit	
Carling-2017-112e-49	49			papaya	5049	Crops & fruit	
Carling-2017-112e-50	50			mango	5050	Crops & fruit	
Carling-2017-112e-51	51			boat	5051	Cultural artefacts & tools	
Carling-2017-112e-52	52			canoe	5052	Cultural artefacts & tools	
Carling-2017-112e-53	53			oar / paddle	5053	Cultural artefacts & tools	
Carling-2017-112e-54	54			sail	5054	Cultural artefacts & tools	
Carling-2017-112e-55	55			saw	5055	Cultural artefacts & tools	
Carling-2017-112e-56	56			axe	5056	Cultural artefacts & tools	
Carling-2017-112e-57	57			loom	5057	Cultural artefacts & tools	
Carling-2017-112e-58	58			pot	5058	Cultural artefacts & tools	
Carling-2017-112e-59	59			hoe	5059	Cultural artefacts & tools	
Carling-2017-112e-60	60			Jew's harp	5060	Cultural artefacts & tools	
Carling-2017-112e-61	61			field (wet) / rice paddy	5061	Cultural artefacts & tools	
Carling-2017-112e-62	62			field (dry)	5062	Cultural artefacts & tools	
Carling-2017-112e-63	63			mortar	5063	Cultural artefacts & tools	
Carling-2017-112e-64	64			pestle	5064	Cultural artefacts & tools	
Carling-2017-112e-65	65			trap	5065	Cultural artefacts & tools	
Carling-2017-112e-66	66			snare	5066	Cultural artefacts & tools	
Carling-2017-112e-67	67			rope	5067	Cultural artefacts & tools	
Carling-2017-112e-68	68			basket	5068	Cultural artefacts & tools	
Carling-2017-112e-69	69			broom	5069	Cultural artefacts & tools	
Carling-2017-112e-70	70			mat	5070	Cultural artefacts & tools	
Carling-2017-112e-71	71			clothing	5071	Cultural artefacts & tools	
Carling-2017-112e-72	72			sea / ocean	5072	Seasons & nature	
Carling-2017-112e-73	73			pond / lake	5073	Seasons & nature	
Carling-2017-112e-74	74			snow / ice	5074	Seasons & nature	
Carling-2017-112e-75	75			summer / warm season	5075	Seasons & nature	
Carling-2017-112e-76	76			winter / cold season	5076	Seasons & nature	
Carling-2017-112e-77	77			monsoon season	5077	Seasons & nature	
Carling-2017-112e-78	78			autumn	5078	Seasons & nature	
Carling-2017-112e-79	79			spring	5079	Seasons & nature	
Carling-2017-112e-80	80			iron / metal	5080	Metals & materials	
Carling-2017-112e-81	81			silver	5081	Metals & materials	
Carling-2017-112e-82	82			gold	5082	Metals & materials	
Carling-2017-112e-83	83			pearl	5083	Metals & materials	
Carling-2017-112e-84	84			cowry shell	5084	Metals & materials	
Carling-2017-112e-85	85			wood	5085	Metals & materials	
Carling-2017-112e-86	86			stone	5086	Metals & materials	
Carling-2017-112e-87	87			leather / hide	5087	Metals & materials	
Carling-2017-112e-88	88			cloth	5088	Metals & materials	
Carling-2017-112e-89	89			bamboo	5089	Metals & materials	
Carling-2017-112e-90	90			paper	5090	Metals & materials	
Carling-2017-112e-91	91			charcoal	5091	Metals & materials	
Carling-2017-112e-92	92			machete	5092	Weapons	
Carling-2017-112e-93	93			bow	5093	Weapons	
Carling-2017-112e-94	94			arrow	5094	Weapons	
Carling-2017-112e-95	95			knife	5095	Weapons	
Carling-2017-112e-96	96			spear	5096	Weapons	
Carling-2017-112e-97	97			head-hunting	5097	Belief	
Carling-2017-112e-98	98			to pray	5098	Belief	
Carling-2017-112e-99	99			shaman / medicine-man	5099	Belief	
Carling-2017-112e-100	100			to heal, to cure	5100	Belief	
Carling-2017-112e-101	101			sorcerer	5101	Belief	
Carling-2017-112e-102	102			ghost	5102	Belief	
Carling-2017-112e-103	103			demon	5103	Belief	
Carling-2017-112e-104	104			wedding	5104	Belief	
Carling-2017-112e-105	105			grave	5105	Belief	
Carling-2017-112e-106	106			ancestor(s)	5106	Belief	
Carling-2017-112e-107	107			sun	5107	Astronomy	
Carling-2017-112e-108	108			moon	5108	Astronomy	
Carling-2017-112e-109	109			star	5109	Astronomy	
Carling-2017-112e-110	110			house	5110	Settlement	
Carling-2017-112e-111	111			bridge	5111	Settlement	
Carling-2017-112e-112	112			village	5112	Settlement	
